代码,名称,市场,最新价,估算半年涨幅潜力%,技术面评分,综合评分,潜力逻辑,技术面逻辑,MA5,MA10,MA20,MA60,MACD_DIF,MACD_DEA,KDJ_K,KDJ_D,RSI,量比,20日涨幅%,布林上轨,布林中轨,布林下轨,支撑位,压力位,建议买入价,目标价(半年),止损价,优先等级
603538,美诺华,沪市主板,28.82,88,45,70.8,靠近60日线，突破后空间大；布林中上部，仍有空间；MACD底部金叉，反弹动能强；较60日高点回调33%，超跌反弹；量能放大；KDJ中位偏多,站上60日线；MACD金叉；KDJ金叉未超买；量比1.8,26.97,26.5,26.78,28.56,-0.321,-0.58,61.87,43.25,62.48,1.81,10.17,28.84,26.78,24.71,24.71,28.84,26.24,54.18,23.97,1
000066,中国长城,深市主板,15.87,80,55,70.0,靠近60日线，突破后空间大；布林上轨附近；MACD底部金叉，反弹动能强；较60日高点回调22%，回调充分；放量启动；KDJ中位偏多,站上60日线；MACD金叉；KDJ金叉未超买；量比4.8；突破20日新高,14.57,14.32,14.38,15.18,-0.017,-0.181,57.95,41.6,66.15,4.84,12.63,15.3,14.38,13.45,13.45,15.3,14.09,28.57,13.05,1
600707,彩虹股份,沪市主板,9.55,85,43,68.2,靠近60日线，突破后空间大；布林中上部，仍有空间；MACD底部金叉，反弹动能强；较60日高点回调48%，超跌反弹；量能放大；KDJ超买,短期多头；MACD金叉；量比1.9,9.4,9.03,9.0,9.83,-0.014,-0.154,70.47,63.8,64.68,1.89,4.26,9.78,9.0,8.22,8.22,9.78,8.82,17.67,7.97,1
603986,兆易创新,沪市主板,402.1,88,35,66.8,靠近60日线，突破后空间大；布林中上部，仍有空间；MACD底部金叉，反弹动能强；较60日高点回调52%，超跌反弹；量能放大；KDJ中位偏多,MACD金叉；KDJ金叉未超买；量比1.7,385.0,377.88,384.68,444.99,-8.949,-13.926,63.68,48.28,55.92,1.66,2.45,412.89,384.68,356.48,356.48,412.89,376.99,755.95,345.79,1
300476,胜宏科技,创业板,242.1,88,35,66.8,靠近60日线，突破后空间大；布林中上部，仍有空间；MACD底部金叉，反弹动能强；较60日高点回调32%，超跌反弹；量能放大；KDJ中位偏多,MACD金叉；KDJ金叉未超买；量比1.6,234.08,231.39,233.69,248.58,-3.908,-6.213,60.25,48.49,60.45,1.57,-2.94,255.7,233.69,211.68,211.68,255.7,229.02,455.15,205.33,1
605376,博迁新材,沪市主板,141.33,88,35,66.8,靠近60日线，突破后空间大；布林中上部，仍有空间；MACD底部金叉，反弹动能强；较60日高点回调51%，超跌反弹；量能放大；KDJ中位偏多,MACD金叉；KDJ金叉未超买；量比1.9,138.3,136.6,139.65,159.84,-4.755,-6.082,63.05,56.18,53.11,1.92,-3.57,151.97,139.65,127.33,127.33,151.97,136.86,265.7,123.51,1
603256,宏和科技,沪市主板,159.22,75,53,66.2,靠近60日线，突破后空间大；布林上轨附近；MACD零上金叉，趋势延续；较60日高点回调41%，超跌反弹；放量启动；KDJ超买,短期多头；MACD金叉；量比2.2；突破20日新高,149.08,140.14,137.16,156.27,0.446,-3.574,82.62,72.86,71.17,2.17,18.89,156.67,137.16,117.64,117.64,156.67,134.41,278.64,114.11,1
300058,蓝色光标,创业板,14.05,80,45,66.0,靠近60日线，突破后空间大；布林中上部，仍有空间；MACD底部金叉，反弹动能强；较60日高点回调17%；量能放大；KDJ中低位,站上60日线；MACD金叉；KDJ金叉未超买；量比1.9,13.23,13.21,13.46,13.54,-0.179,-0.209,48.33,30.96,55.92,1.86,6.93,14.39,13.46,12.53,12.53,14.39,13.19,25.29,12.15,1
301308,江波龙,创业板,348.27,92,25,65.2,靠近60日线，突破后空间大；布林中轨下方，回归空间大；MACD底部金叉，反弹动能强；较60日高点回调54%，超跌反弹；量能温和；KDJ中低位,MACD金叉；KDJ金叉未超买,343.41,341.12,353.77,410.95,-13.819,-16.257,47.73,32.95,41.75,1.45,-4.37,386.33,353.77,321.21,321.21,386.33,346.7,668.68,311.57,1
300433,蓝思科技,创业板,34.44,92,25,65.2,靠近60日线，突破后空间大；布林中轨下方，回归空间大；MACD底部金叉，反弹动能强；较60日高点回调38%，超跌反弹；量能温和；KDJ中低位,MACD金叉；KDJ金叉未超买,33.9,33.78,35.43,37.55,-0.899,-0.905,43.19,30.65,35.85,1.44,-11.74,39.67,35.43,31.2,31.2,39.67,34.72,66.12,30.26,1
301377,鼎泰高科,创业板,398.0,80,43,65.2,靠近60日线，突破后空间大；布林中上部，仍有空间；MACD底部金叉，反弹动能强；较60日高点回调30%，回调充分；量能温和；KDJ中位偏多,短期多头；MACD金叉；KDJ金叉未超买,402.96,397.58,397.58,420.97,-4.052,-6.072,59.97,59.48,54.73,1.32,0.86,419.24,397.58,375.93,375.93,419.24,389.63,716.4,364.65,1
600418,江淮汽车,沪市主板,21.32,85,35,65.0,靠近60日线，突破后空间大；布林中上部，仍有空间；MACD底部金叉，反弹动能强；较60日高点回调22%，回调充分；放量启动；KDJ中位偏多,MACD金叉；KDJ金叉未超买；量比2.2,19.68,19.52,20.14,22.05,-0.702,-0.905,51.99,32.02,57.68,2.25,1.14,21.81,20.14,18.46,18.46,21.81,19.73,39.44,17.91,1
300458,全志科技,创业板,33.63,85,35,65.0,靠近60日线，突破后空间大；布林中上部，仍有空间；MACD底部金叉，反弹动能强；较60日高点回调22%，回调充分；放量启动；KDJ中位偏多,MACD金叉；KDJ金叉未超买；量比2.1,31.34,30.55,31.34,34.57,-0.586,-0.969,67.87,47.65,51.28,2.08,9.83,34.37,31.34,28.31,28.31,34.37,30.71,62.22,27.46,1
600301,华锡有色,沪市主板,48.87,78,45,64.8,靠近60日线，突破后空间大；布林中上部，仍有空间；MACD零上金叉，趋势延续；较60日高点回调27%，回调充分；放量启动；KDJ中位偏多,站上60日线；MACD金叉；KDJ金叉未超买；量比3.3,47.77,46.49,46.92,48.3,0.039,-0.271,58.74,51.29,56.18,3.27,3.76,49.75,46.92,44.09,44.09,49.75,45.98,86.99,42.77,1
300308,中际旭创,创业板,927.72,78,43,64.0,靠近60日线，突破后空间大；布林中上部，仍有空间；MACD底部金叉，反弹动能强；较60日高点回调29%，回调充分；缩量；KDJ中位偏多,短期多头；MACD金叉；KDJ金叉未超买,919.79,906.1,879.89,967.1,-1.908,-13.947,68.46,67.57,65.68,0.92,9.03,957.04,879.89,802.74,802.74,957.04,862.29,1651.34,778.66,1
300274,阳光电源,创业板,88.2,90,25,64.0,靠近60日线，突破后空间大；布林中轨下方，回归空间大；MACD底部金叉，反弹动能强；较60日高点回调41%，超跌反弹；量能温和；KDJ中位偏多,MACD金叉；KDJ金叉未超买,86.51,85.62,88.9,104.92,-5.484,-6.545,61.42,44.47,58.77,1.0,-21.12,102.18,88.9,75.62,75.62,102.18,87.12,167.58,73.35,1
000657,中钨高新,深市主板,60.26,90,25,64.0,靠近60日线，突破后空间大；布林中轨下方，回归空间大；MACD底部金叉，反弹动能强；较60日高点回调40%，超跌反弹；量能温和；KDJ中位偏多,MACD金叉；KDJ金叉未超买,61.09,60.53,61.4,64.86,-1.083,-1.254,60.12,58.0,51.62,1.2,-4.36,66.71,61.4,56.09,56.09,66.71,60.17,114.49,54.41,1
301217,铜冠铜箔,创业板,114.54,78,43,64.0,靠近60日线，突破后空间大；布林中上部，仍有空间；MACD零上金叉，趋势延续；较60日高点回调34%，超跌反弹；量能温和；KDJ中位偏多,短期多头；MACD金叉；KDJ金叉未超买,113.15,111.1,110.65,114.07,0.071,-0.647,67.99,63.18,57.85,1.05,6.23,120.7,110.65,100.6,100.6,120.7,108.44,203.88,97.58,1
600549,厦门钨业,沪市主板,49.34,90,25,64.0,靠近60日线，突破后空间大；布林中轨下方，回归空间大；MACD底部金叉，反弹动能强；较60日高点回调45%，超跌反弹；量能温和；KDJ中位偏多,MACD金叉；KDJ金叉未超买,50.07,50.02,50.87,54.86,-1.218,-1.357,52.44,51.85,47.46,1.03,-6.23,54.45,50.87,47.28,47.28,54.45,49.85,93.75,45.86,1
301666,大普微,创业板,401.0,90,25,64.0,靠近60日线，突破后空间大；布林中轨下方，回归空间大；MACD底部金叉，反弹动能强；较60日高点回调41%，超跌反弹；量能温和；KDJ中位偏多,MACD金叉；KDJ金叉未超买,394.53,386.74,409.86,456.88,-14.893,-17.966,55.55,40.72,42.65,1.21,2.56,475.71,409.86,344.01,344.01,475.71,401.66,761.9,333.69,1
605589,圣泉集团,沪市主板,40.58,78,43,64.0,靠近60日线，突破后空间大；布林中上部，仍有空间；MACD零上金叉，趋势延续；较60日高点回调37%，超跌反弹；量能温和；KDJ中位偏多,短期多头；MACD金叉；KDJ金叉未超买,40.91,39.83,39.31,42.05,0.035,-0.407,68.13,66.79,58.27,1.2,7.67,41.89,39.31,36.72,36.72,41.89,38.52,72.23,35.62,1
301396,宏景科技,创业板,194.99,82,35,63.2,靠近60日线，突破后空间大；布林上轨附近；MACD底部金叉，反弹动能强；较60日高点回调43%，超跌反弹；放量启动；KDJ超买,MACD金叉；量比2.2；突破20日新高,179.94,174.25,175.33,198.71,-2.501,-5.449,71.89,56.53,66.13,2.22,13.14,189.02,175.33,161.63,161.63,189.02,171.82,354.88,156.78,1
301526,国际复材,创业板,31.0,83,33,63.0,靠近60日线，突破后空间大；布林中上部，仍有空间；MACD底部金叉，反弹动能强；较60日高点回调39%，超跌反弹；缩量；KDJ中位偏多,短期多头；MACD金叉,31.54,30.8,29.71,33.09,-0.228,-0.67,56.97,59.54,66.84,0.85,4.66,33.49,29.71,25.94,25.94,33.49,29.12,56.73,25.16,1
300285,国瓷材料,创业板,66.2,76,43,62.8,靠近60日线，突破后空间大；布林中上部，仍有空间；MACD零上金叉，趋势延续；较60日高点回调39%，超跌反弹；缩量；KDJ中位偏多,短期多头；MACD金叉；KDJ金叉未超买,67.02,65.1,64.87,67.64,0.001,-0.577,69.75,66.72,58.53,0.96,3.24,71.34,64.87,58.39,58.39,71.34,63.57,116.51,56.64,1
